Identifier_targ,Title,Year,What_is_available,Sample_overlap_target_base,Category_targ,Phenotype_targ,Tissue_targ,Array_targ,Ancestry_targ,Developmental_period_targ,Covariates_targ,MPS_id,Identifier_base,Category_base,Phenotype_base,Tissue_base,Array_base,Ancestry_base,Developmental_period_base,Covariates_base
Zhang (2019) - DNA methylation and allergic sensitizations,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Zhang (2019) - DNA methylation and allergic sensitizationsAtopic status,Zhang (2019) - DNA methylation and allergic sensitizations,Disease,Atopic status,Peripheral blood,"Multiple (450K, EPICv1)",European,Childhood and adolescence,"15 PCs, array, gender, age, cell-type"
Zhang (2019) - DNA methylation and allergic sensitizations,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Zhang (2019) - DNA methylation and allergic sensitizationsAtopic status,Zhang (2019) - DNA methylation and allergic sensitizations,Disease,Atopic status,Peripheral blood,"Multiple (450K, EPICv1)",European,Childhood and adolescence,"15 PCs, array, gender, age, cell-type"
Hannon (2016) - An integrated genetic-epigenetic analysis,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Neuro-psychiatric health indicators,Schizophrenia ,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Hannon (2016) - An integrated genetic-epigenetic analysisSchizophrenia ,Hannon (2016) - An integrated genetic-epigenetic analysis,Psychiatric,Schizophrenia ,Whole blood,450K,European,Adults,"age, gender, and cell composition"
Hannon (2016) - An integrated genetic-epigenetic analysis,Methylation risk scores for childhood aeroallergen sensitization: Results from the LISA birth cohort,2022,EWAS summary statistics,No,Neuro-psychiatric health indicators,Schizophrenia ,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Hannon (2016) - An integrated genetic-epigenetic analysisSchizophrenia ,Hannon (2016) - An integrated genetic-epigenetic analysis,Psychiatric,Schizophrenia ,Whole blood,450K,European,Adults,"age, gender, and cell composition"
Peng (2019) - Epigenome-wide association study reveals ,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Allergy,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Peng (2019) - Epigenome-wide association study reveals Allergy,Peng (2019) - Epigenome-wide association study reveals ,Disease,Allergy,Peripheral blood,450K,Mixed,Mid childhood,"maternal covariates [age at enrollment (continuous), smoking status (never, former, or during pregnancy), education (college/graduate level or not college/graduate level), atopy history (asthma, eczema or hay fever)], child covariates [sex (female or male), race/ethnicity (white, black or others), gestational age (continuous)], and cell type proxies estimated for peripheral blood (percentages of monocytes, CD8T cells, CD4T cells, NK cells, and B cells)."
Peng (2019) - Epigenome-wide association study reveals ,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Allergy,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Peng (2019) - Epigenome-wide association study reveals Allergy,Peng (2019) - Epigenome-wide association study reveals ,Disease,Allergy,Peripheral blood,450K,Mixed,Mid childhood,"maternal covariates [age at enrollment (continuous), smoking status (never, former, or during pregnancy), education (college/graduate level or not college/graduate level), atopy history (asthma, eczema or hay fever)], child covariates [sex (female or male), race/ethnicity (white, black or others), gestational age (continuous)], and cell type proxies estimated for peripheral blood (percentages of monocytes, CD8T cells, CD4T cells, NK cells, and B cells)."
Xu (2021) - Shared DNA methylation signatures in,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Allergy,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Xu (2021) - Shared DNA methylation signatures inAllergy,Xu (2021) - Shared DNA methylation signatures in,Disease,Allergy,Whole blood,450K,European,Childhood,"sex, cohort, and technical covariables"
Xu (2021) - Shared DNA methylation signatures in,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Allergy,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Xu (2021) - Shared DNA methylation signatures inAllergy,Xu (2021) - Shared DNA methylation signatures in,Disease,Allergy,Whole blood,450K,European,Childhood,"sex, cohort, and technical covariables"
Reese (2019) - Epigenome-wide meta-analysis of,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Chen (2017) - An epigenome-wide association study,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Chen (2017) - An epigenome-wide association studyAtopic status,Chen (2017) - An epigenome-wide association study,Disease,Atopic status,Leukocytes,450K,Hispanic,Late childhood,"age, sex, asthma, batch (or plate), population subgroup (in GALA II) and the first five principal components (PCs) of the genotypic data, cell-types"
Chen (2017) - An epigenome-wide association study,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Chen (2017) - An epigenome-wide association studyAtopic status,Chen (2017) - An epigenome-wide association study,Disease,Atopic status,Leukocytes,450K,Hispanic,Late childhood,"age, sex, asthma, batch (or plate), population subgroup (in GALA II) and the first five principal components (PCs) of the genotypic data, cell-types"
Everson (2015) - DNA methylation loci associated with,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Everson (2015) - DNA methylation loci associated withAtopic status,Everson (2015) - DNA methylation loci associated with,Disease,Atopic status,Whole blood,450K,European,Adolescence,cell-type proportions and sex
Everson (2015) - DNA methylation loci associated with,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Everson (2015) - DNA methylation loci associated withAtopic status,Everson (2015) - DNA methylation loci associated with,Disease,Atopic status,Whole blood,450K,European,Adolescence,cell-type proportions and sex
Zhang (2019) - DNA methylation and allergic sensitizations,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Late childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Zhang (2019) - DNA methylation and allergic sensitizationsAtopic status,Zhang (2019) - DNA methylation and allergic sensitizations,Disease,Atopic status,Peripheral blood,"Multiple (450K, EPICv1)",European,Childhood and adolescence,"15 PCs, array, gender, age, cell-type"
Zhang (2019) - DNA methylation and allergic sensitizations,DNA methylation and aeroallergen sensitization: The chicken or the egg?,2022,EWAS summary statistics,No,Physical health indicators,Atopic status,Blood-clots,EPICv1,European,Mid childhood,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH",Zhang (2019) - DNA methylation and allergic sensitizationsAtopic status,Zhang (2019) - DNA methylation and allergic sensitizations,Disease,Atopic status,Peripheral blood,"Multiple (450K, EPICv1)",European,Childhood and adolescence,"15 PCs, array, gender, age, cell-type"
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Reese (2019) - Epigenome-wide meta-analysis of,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,2022,EWAS summary statistics,No,Physical health indicators,Asthma,Dried bloodspot,EPICv1,European,Very early childhood,Not reported,Reese (2019) - Epigenome-wide meta-analysis ofAsthma,Reese (2019) - Epigenome-wide meta-analysis of,Disease,Asthma,Whole blood,450K,Mixed,"Birth, Childhood and adolescence","maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models."
Capper (2018) - DNA methylation-based classification of,The spectrum of rare central nervous system (CNS) tumors with EWSR1-non-ETS fusions: experience from three pediatric institutions with review of the literature,2021,Validated MPS algorithm,No,Cancer,Brain tumour,Tumour cells,EPICv1,Not reported,Childhood and adolescence,Not reported,Capper (2018) - DNA methylation-based classification ofBrain tumour,Capper (2018) - DNA methylation-based classification of,Cancer,Brain tumour,Tumour cells,450K,Not reported,Childhood and adolescence,batch
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Afamin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingAfamin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Afamin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Alpha-L-iduronidase,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingAlpha-L-iduronidase,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Alpha-L-iduronidase,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Aminoacylase-1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingAminoacylase-1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Aminoacylase-1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Beta-2-microglobulin,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingBeta-2-microglobulin,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Beta-2-microglobulin,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,BMP1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingBMP1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,BMP1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CCL11,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCCL11,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CCL11,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CCL17,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCCL17,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CCL17,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CCL18,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCCL18,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CCL18,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CCL21,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCCL21,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CCL21,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CCL22,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCCL22,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CCL22,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CCL25,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCCL25,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CCL25,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CD163,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCD163,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CD163,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CD209,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCD209,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CD209,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CD48,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCD48,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CD48,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CD5,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCD5,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CD5,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CD6,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCD6,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CD6,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CHIT1,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCHIT1,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CHIT1,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Coagulation factor VII,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCoagulation factor VII,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Coagulation factor VII,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Complement C4,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingComplement C4,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Complement C4,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Complement C5a,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingComplement C5a,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Complement C5a,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Complement C9,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingComplement C9,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Complement C9,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,Contactin-4,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingContactin-4,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,Contactin-4,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Ligthart (2016) - DNA methylation signatures of chronic,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,C-reactive protein,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Biological markers,C-reactive protein,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CRTAM,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCRTAM,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CRTAM,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Epigenetic scores derived in saliva are associated with gestational age at birth,2024,Validated MPS algorithm,No,Biological markers,CXCL10,Saliva,EPICv1,White,Birth,"age at sample, birthweight z-score, sex, and methylation processing batch",Gadd (2023) - Epigenetic scores for the circulatingCXCL10,Gadd (2023) - Epigenetic scores for the circulating,Biological markers,CXCL10,Whole blood,450K,European,Adults,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
