Author,Year,Title,Journal,DOI,n MPSs,Phenotype(s),Category,n CpGs,Based on,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
Reese et al.,2017.0,DNA Methylation Score as a Biomarker in Newborns for Sustained Maternal Smoking during Pregnancy,Environ Health Perspect,10.1289/ehp333,2.0,Maternal smoking,Lifestyle and environment,28.0,"Multiple (Published summary statistics (semi-supervised), Raw individual-level data)",Population-based,1278.0,Birth,Cord blood,450K,European,"['Reese, S. E.', 'Zhao, S.', 'Wu, M. C.', 'Joubert, B. R.', 'Parr, C. L.', 'Haberg, S. E.', 'Ueland, P. M.', 'Nilsen, R. M.', 'Midttun, O.', 'Vollset, S. E.', 'Peddada, S. D.', 'Nystad, W.', 'London, S. J.']",2017-04-03
Trajkova et al.,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,Hum Genet Genom Adv,10.1016/j.xhgg.2024.100309,15.0,"Multiple (BAFopathy syndrome: no subtype specified, CHARGE syndrome, Cornelia de Lange syndrome (CdLS), Helsmoortel–van der Aa syndrome (HVDAS) / ADNP, Kabuki syndrome, Kleefstra syndrome (Kleefstra), Koolen de Vreis syndrome (KDVS), Rubinstein-Taybi syndrome (RSTS), Williams–Beuren deletion syndrome (WBS), 22q11.2 deletion syndrome, BAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2), Renpenning syndrome (RENS1), Intellectual developmental disorder, autosomal dominant 23 (MRD23), KBG syndrome, Wolf-Hirschhorn syndrome (WHS))",Genetic syndromes,"Multiple (140.0, 148.0, 128.0, 105.0, 153.0, 107.0, 136.0, 139.0, 82.0, 500.0, 329.0, nan)",Pre-established MPS,Case control,97.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Trajkova, S.', 'Kerkhof, J.', 'Rossi Sebastiano, M.', 'Pavinato, L.', 'Ferrero, E.', 'Giovenino, C.', 'Carli, D.', 'Di Gregorio, E.', 'Marinoni, R.', 'Mandrile, G.', 'Palermo, F.', 'Carestiato, S.', 'Cardaropoli, S.', 'Pullano, V.', 'Rinninella, A.', 'Giorgio, E.', 'Pippucci, T.', 'Dimartino, P.', 'Rzasa, J.', 'Rooney, K.', 'McConkey, H.', 'Petlichkovski, A.', 'Pasini, B.', 'Sukarova-Angelovska, E.', 'Campbell, C. M.', 'Metcalfe, K.', 'Jenkinson, S.', 'Banka, S.', 'Mussa, A.', 'Ferrero, G. B.', 'Sadikovic, B.', 'Brusco, A.']",2024-06-10
Kilanowski et al.,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,Clin Epigenetics,10.1186/s13148-022-01332-5,12.0,"Multiple (Atopic status, Allergy, Asthma)",Physical health indicators,"Multiple (3.0, 2.0, 5.0, 9.0, 18.0, 24.0)",Published summary statistics (semi-supervised),Population-based,"Multiple (167.0, 234.0)","Multiple (Late childhood, Mid childhood)",Blood-clots,EPICv1,European,"['Kilanowski, A.', 'Merid, S. K.', 'Abrishamcar, S.', 'Feil, D.', 'Thiering, E.', 'Waldenberger, M.', 'Melén, E.', 'Peters, A.', 'Standl, M.', 'Hüls, A.']",2022-09-26
Abrishamcar et al.,2022.0,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,Transl Psychiatry,10.1038/s41398-022-02195-3,2.0,"Multiple (Prenatal alcohol exposure, Maternal smoking)",Lifestyle and environment,,Published summary statistics (semi-supervised),Population-based,262.0,Birth,Cord blood,"Multiple (450K, EPICv1)",African,"['Abrishamcar, S.', 'Chen, J.', 'Feil, D.', 'Kilanowski, A.', 'Koen, N.', 'Vanker, A.', 'Wedderburn, C. J.', 'Donald, K. A.', 'Zar, H. J.', 'Stein, D. J.', 'Huls, A.']",2022-09-30
Luo et al.,2024.0,DNA methylation at birth and lateral ventricular volume in childhood: a neuroimaging epigenetics study,J Child Psychol Psychiatry,10.1111/jcpp.13866,1.0,Lateral ventricular volume,Neuro-psychiatric health indicators,125.0,Raw individual-level data,Population-based,840.0,Birth,Cord blood,450K,European,"['Luo, M.', 'Walton, E.', 'Neumann, A.', 'Thio, C. H. L.', 'Felix, J. F.', 'van Ijzendoorn, M. H.', 'Pappa, I.', 'Cecil, C. A. M.']",2023-07-26
Schenkel et al.,2021.0,DNA methylation epi-signature is associated with two molecularly and phenotypically distinct clinical subtypes of Phelan-McDermid syndrome,Clin Epigenetics,10.1186/s13148-020-00990-7,1.0,Phelan–McDermid syndrome (PHMDS),Genetic syndromes,1022.0,Raw individual-level data,Case control,55.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Schenkel, L. C.', 'Aref-Eshghi, E.', 'Rooney, K.', 'Kerkhof, J.', 'Levy, M. A.', 'McConkey, H.', 'Rogers, R. C.', 'Phelan, K.', 'Sarasua, S. M.', 'Jain, L.', 'Pauly, R.', 'Boccuto, L.', 'DuPont, B.', 'Cappuccio, G.', 'Brunetti-Pierri, N.', 'Schwartz, C. E.', 'Sadikovic, B.']",2021-01-12
Rooney et al.,2023.0,DNA methylation episignature and comparative epigenomic profiling of HNRNPU-related neurodevelopmental disorder,Gen Med,10.1016/j.gim.2023.100871,1.0,HNRNPU syndrome,Genetic syndromes,123.0,Raw individual-level data,Case control,60.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Rooney, K.', 'van der Laan, L.', 'Trajkova, S.', 'Haghshenas, S.', 'Relator, R.', 'Lauffer, P.', 'Vos, N.', 'Levy, M. A.', 'Brunetti-Pierri, N.', 'Terrone, G.', 'Mignot, C.', 'Keren, B.', 'de Villemeur, T. B.', 'Volker-Touw, C. M. L.', 'Verbeek, N.', 'van der Smagt, J. J.', 'Oegema, R.', 'Brusco, A.', 'Ferrero, G. B.', 'Misra-Isrie, M.', 'Hochstenbach, R.', 'Alders, M.', 'Mannens, M. M. A. M.', 'Sadikovic, B.', 'van Haelst, M. M.', 'Henneman, P.']",2023-06-06
Coenen-van der Spek et al.,2023.0,DNA methylation episignature for Witteveen-Kolk syndrome due to SIN3A haploinsufficiency,Gen Med,10.1016/j.gim.2022.10.004,1.0,Witteveen-Kolk syndrome (WITKOS),Genetic syndromes,120.0,Raw individual-level data,Case control,,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Coenen-van der Spek, J.', 'Relator, R.', 'Kerkhof, J.', 'McConkey, H.', 'Levy, M. A.', 'Tedder, M. L.', 'Louie, R. J.', 'Fletcher, R. S.', 'Moore, H. W.', 'Childers, A.', 'Farrelly, E. R.', 'Champaigne, N. L.', 'Lyons, M. J.', 'Everman, D. B.', 'Rogers, R. C.', 'Skinner, S. A.', 'Renck, A.', 'Matalon, D. R.', 'Dills, S. K.', 'Monteleone, B.', 'Demirdas, S.', 'Dingemans, A. J. M.', 'Donker Kaat, L.', 'Kolk, S. M.', 'Pfundt, R.', 'Rump, P.', 'Sadikovic, B.', 'Kleefstra, T.', 'Butler, K. M.']",2022-11-29
Cherik et al.,2022.0,DNA methylation episignature in Gabriele-de Vries syndrome,Gen Med,10.1016/j.gim.2021.12.003,1.0,Gabriele-de Vries syndrome (GADEVS),Genetic syndromes,487.0,Raw individual-level data,Case control,65.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Cherik, F.', 'Reilly, J.', 'Kerkhof, J.', 'Levy, M.', 'McConkey, H.', 'Barat-Houari, M.', 'Butler, K. M.', 'Coubes, C.', 'Lee, J. A.', 'Le Guyader, G.', 'Louie, R. J.', 'Patterson, W. G.', 'Tedder, M. L.', 'Bak, M.', 'Hammer, T. B.', 'Craigen, W.', 'Démurger, F.', 'Dubourg, C.', 'Fradin, M.', 'Franciskovich, R.', 'Frengen, E.', 'Friedman, J.', 'Palares, N. R.', 'Iascone, M.', 'Misceo, D.', 'Monin, P.', 'Odent, S.', 'Philippe, C.', 'Rouxel, F.', 'Saletti, V.', 'Strømme, P.', 'Thulin, P. C.', 'Sadikovic, B.', 'Genevieve, D.']",2022-02-03
van der Laan et al.,2024.0,"DNA methylation episignature, extension of the clinical features, and comparative epigenomic profiling of Hao-Fountain syndrome caused by variants in USP7",Gen Med,10.1016/j.gim.2023.101050,1.0,Hao-Fountain syndrome (HAFOUS),Genetic syndromes,203.0,Raw individual-level data,Case control,70.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['van der Laan, L.', 'Karimi, K.', 'Rooney, K.', 'Lauffer, P.', 'McConkey, H.', 'Caro, P.', 'Relator, R.', 'Levy, M. A.', 'Bhai, P.', 'Mignot, C.', 'Keren, B.', 'Briuglia, S.', 'Sobering, A. K.', 'Li, D.', 'Vissers, L. E. L. M.', 'Dingemans, A. J. M.', 'Valenzuela, I.', 'Verberne, E. A.', 'Misra-Isrie, M.', 'Zwijnenburg, P. J. G.', 'Waisfisz, Q.', 'Alders, M.', 'Sailer, S.', 'Schaaf, C. P.', 'Mannens, M. M. A. M.', 'Sadikovic, B.', 'van Haelst, M. M.', 'Henneman, P.']",2024-02-01
Vos et al.,2023.0,DNA methylation episignatures are sensitive and specific biomarkers for detection of patients with KAT6A/KAT6B variants,Epigenomics,10.2217/epi-2023-0079,1.0,KAT6A syndrome,Genetic syndromes,114.0,Raw individual-level data,Case control,105.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Vos, N.', 'Reilly, J.', 'Elting, M. W.', 'Campeau, P. M.', 'Coman, D.', 'Stark, Z.', 'Tan, T. Y.', 'Amor, D. J.', 'Kaur, S.', 'Stjohn, M.', 'Morgan, A. T.', 'Kamien, B. A.', 'Patel, C.', 'Tedder, M. L.', 'Merla, G.', 'Prontera, P.', 'Castori, M.', 'Muru, K.', 'Collins, F.', 'Christodoulou, J.', 'Smith, J.', 'Zeev, B. B.', 'Murgia, A.', 'Leonardi, E.', 'Esber, N.', 'Martinez-Monseny, A.', 'Casas-Alba, D.', 'Wallis, M.', 'Mannens, M.', 'Levy, M. A.', 'Relator, R.', 'Alders, M.', 'Sadikovic, B.']",2023-07-03
Maguolo et al.,2025.0,DNA methylation in cord blood partially mediates the effects of prepregnancy BMI on early childhood offspring BMI,Obesity (Silver Spring),10.1002/oby.24174,1.0,BMI,Physical health indicators,2.0,Raw individual-level data,Cohort study,79.0,Birth,Cord blood,450K,European,"['Maguolo, A.', 'Jonsson, J.', 'Perfilyev, A.', 'Maziarz, M.', 'Vaag, A.', 'Malchau Carlsen, E.', 'Norgaard, K.', 'Franks, P. W.', 'Renault, K. M.', 'Ling, C.']",2025-01-03
Waterfield et al.,2024.0,DNA methylation models of protein abundance across the lifecourse,Clin Epigenetics,10.1186/s13148-024-01802-y,278.0,"Multiple (CCL11, CCL25, CD6, CXCL10, CXCL11, CXCL9, FGF21, HGF, MMP1, Oncostatin-M, VEGFA, ADA , ARTN , AXIN1 , BetaNGF , CASP8 , CCL19 , CCL20 , CCL23 , CCL28 , CCL3 , CCL4 , CD244 , CD40 , CD5 , CD8A , CDCP1 , CSF1 , CST5 , CX3CL1 , CXCL5 , CXCL6 , ENRAGE , FGF19 , FGF23 , FGF5 , Flt3L , GDNF , IFNgamma , IL10 , IL10RA , IL10RB , IL12B , IL13 , IL15RA , IL17A , IL17C , IL18 , IL18R1 , IL2 , IL20 , IL20RA , IL22RA1 , IL24 , IL2RB , IL33 , IL4 , IL5 , IL6, IL7 , IL8 , LIF , LIFR , MCP1 , MCP2 , MCP3 , MCP4 , MMP10 , NRTN , NT3 , OPG , PDL1 , SCF , SIRT2 , SLAMF1 , ST1A1 , STAMBP , TGF alpha , TNF , TNFB , TNFRSF9 , TNFSF14 , TRAIL , TRANCE , TSLP , TWEAK , uPA )",Biological markers,,"Multiple (Pre-established MPS, Raw individual-level data)",Population-based,222.0,Mid childhood,Peripheral blood,"Multiple (450K, EPICv1)",European,"['Waterfield, Scott', 'Yousefi, Paul', 'Suderman, Matt']",2024-12-21
Schepke et al.,2022.0,DNA methylation profiling improves routine diagnosis of paediatric central nervous system tumours: A prospective population-based study,Neuropathol Appl Neurobiol,10.1111/nan.12838,1.0,Central nervous system tumour ,Cancer,,Pre-established MPS,Cohort study,240.0,Childhood and adolescence,Tumour cells,EPICv1,European,"['Schepke, E.', 'Lofgren, M.', 'Pietsch, T.', 'Olsson Bontell, T.', 'Kling, T.', 'Wenger, A.', 'Ferreyra Vega, S.', 'Danielsson, A.', 'Dosa, S.', 'Holm, S.', 'Oberg, A.', 'Nyman, P.', 'Eliasson-Hofvander, M.', 'Sandstrom, P. E.', 'Pfister, S. M.', 'Lannering, B.', 'Sabel, M.', 'Caren, H.']",2022-10-03
van den Oord et al.,2022.0,DNA methylation signatures of childhood trauma predict psychiatric disorders and other adverse outcomes 17 years after exposure,Mol Psychiatry,10.1038/s41380-022-01597-5,14.0,"Multiple (Alcohol use disorder, Anxiety, Depression, Externalizing behavior, Health problems, Poverty, Smoking, Social problems)","Multiple (Lifestyle and environment, Neuro-psychiatric health indicators, Physical health indicators)","Multiple (5000.0, 2500.0, 25000.0, 500.0, 100.0)",Raw individual-level data,Population-based,489.0,Late childhood,Dried bloodspot,WGBS,Mixed,"['van den Oord, Cljd', 'Copeland, W. E.', 'Zhao, M.', 'Xie, L. Y.', 'Aberg, K. A.', 'van den Oord, Ejcg']",2022-08-03
Rajaprakash et al.,2024.0,DNA methylation signatures of prenatal socioeconomic position associated with 36-month language outcomes,Res Dev Disabil,10.1016/j.ridd.2024.104846,4.0,Socioeconomic position,Lifestyle and environment,"Multiple (18.0, nan, 29.0)",Published summary statistics (semi-supervised),Cohort study,"Multiple (97.0, 127.0)",Birth,"Multiple (Placenta, Cord blood)",450K,Mixed,"['Rajaprakash, M.', 'Palmore, M.', 'Bakulski, K. M.', 'Howerton, E.', 'Lyall, K.', 'Schmidt, R. J.', 'Newschaffer, C.', 'Croen, L. A.', 'Hertz-Picciotto, I.', 'Volk, H.', 'Ladd-Acosta, C.', 'Fallin, M. D.']",2024-11-03
Levy et al.,2021.0,Deficiency of TET3 leads to a genome-wide DNA hypermethylation episignature in human whole blood,npj Genom Med,10.1038/s41525-021-00256-y,1.0,TET3 deficiency,Genetic syndromes,567.0,Raw individual-level data,Case control,80.0,Childhood and adolescence,Whole blood,"Multiple (450K, EPICv1)",European,"['Levy, M. A.', 'Beck, D. B.', 'Metcalfe, K.', 'Douzgou, S.', 'Sithambaram, S.', 'Cottrell, T.', 'Ansar, M.', 'Kerkhof, J.', 'Mignot, C.', 'Nougues, M. C.', 'Keren, B.', 'Moore, H. W.', 'Oegema, R.', 'Giltay, J. C.', 'Simon, M.', 'van Jaarsveld, R. H.', 'Bos, J.', 'van Haelst, M.', 'Motazacker, M. M.', 'Boon, E. M. J.', 'Santen, G. W. E.', 'Ruivenkamp, C. A. L.', 'Alders, M.', 'Luperchio, T. R.', 'Boukas, L.', 'Ramsey, K.', 'Narayanan, V.', 'Schaefer, G. B.', 'Bonasio, R.', 'Doheny, K. F.', 'Stevenson, R. E.', 'Banka, S.', 'Sadikovic, B.', 'Fahrner, J. A.']",2021-11-12
van Jaarsveld et al.,2023.0,Delineation of a KDM2B-related neurodevelopmental disorder and its associated DNA methylation signature,Gen Med,10.1016/j.gim.2022.09.006,2.0,"Multiple (CxxC domain KM2B-related NDD, KDM2B-related neurodevelopmental disorder)",Genetic syndromes,"Multiple (107.0, 156.0)",Raw individual-level data,Case control,75.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['van Jaarsveld, R. H.', 'Reilly, J.', 'Cornips, M. C.', 'Hadders, M. A.', 'Agolini, E.', 'Ahimaz, P.', 'Anyane-Yeboa, K.', 'Bellanger, S. A.', 'van Binsbergen, E.', 'van den Boogaard, M. J.', 'Brischoux-Boucher, E.', 'Caylor, R. C.', 'Ciolfi, A.', 'van Essen, T. A. J.', 'Fontana, P.', 'Hopman, S.', 'Iascone, M.', 'Javier, M. M.', 'Kamsteeg, E. J.', 'Kerkhof, J.', 'Kido, J.', 'Kim, H. G.', 'Kleefstra, T.', 'Lonardo, F.', 'Lai, A.', 'Lev, D.', 'Levy, M. A.', 'Lewis, M. E. S.', 'Lichty, A.', 'Mannens, M. M. A. M.', 'Matsumoto, N.', 'Maya, I.', 'McConkey, H.', 'Megarbane, A.', 'Michaud, V.', 'Miele, E.', 'Niceta, M.', 'Novelli, A.', 'Onesimo, R.', 'Pfundt, R.', 'Popp, B.', 'Prijoles, E.', 'Relator, R.', 'Redon, S.', 'Rots, D.', 'Rouault, K.', 'Saida, K.', 'Schieving, J.', 'Tartaglia, M.', 'Tenconi, R.', 'Uguen, K.', 'Verbeek, N.', 'Walsh, C. A.', 'Yosovich, K.', 'Yuskaitis, C. J.', 'Zampino, G.', 'Sadikovic, B.', 'Alders, M.', 'Oegema, R.']",2022-11-11
Haghshenas et al.,2021.0,"Detection of a DNA Methylation Signature for the Intellectual Developmental Disorder, X-Linked, Syndromic, Armfield Type",Int J Mol Sci,10.3390/ijms22031111,1.0,"Intellectual developmental disorder, X-linked syndromic, Armfield type (MRXSA)",Genetic syndromes,175.0,Raw individual-level data,Case control,,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Haghshenas, S.', 'Levy, M. A.', 'Kerkhof, J.', 'Aref-Eshghi, E.', 'McConkey, H.', 'Balci, T.', 'Siu, V. M.', 'Skinner, C. D.', 'Stevenson, R. E.', 'Sadikovic, B.', 'Schwartz, C.']",2021-01-23
Shorey-Kendrick et al.,2024.0,Development and Validation of a Novel Placental DNA Methylation Biomarker of Maternal Smoking during Pregnancy in the ECHO Program,Environ Health Perspect,10.1289/ehp13838,12.0,Maternal smoking,Lifestyle and environment,"Multiple (10.0, 18.0, 50.0, 120.0, 287.0, 1000.0, 21.0, 98.0)",Raw individual-level data,Randomized controlled trial,96.0,Birth,Placenta,EPICv1,White,"['Shorey-Kendrick, L. E.', 'Davis, B.', 'Gao, L.', 'Park, B.', 'Vu, A.', 'Morris, C. D.', 'Breton, C. V.', 'Fry, R.', 'Garcia, E.', 'Schmidt, R. J.', ""O'Shea, T. M."", 'Tepper, R. S.', 'McEvoy, C. T.', 'Spindel, E. R.']",2024-06-03
Choudhary et al.,2024.0,Developmental origins of psycho-cardiometabolic multimorbidity in adolescence and their underlying pathways through methylation markers: a two-cohort study,Eur Child Adolesc Psych,10.1007/s00787-024-02390-1,1.0,Maternal smoking,Lifestyle and environment,204.0,Pre-established MPS,Population-based,1485.0,Adolescence,Peripheral blood,450K,European,"['Choudhary, P.', 'Ronkainen, J.', 'Carson, J.', 'Karhunen, V.', 'Lin, A.', 'Melton, P. E.', 'Jarvelin, M. R.', 'Miettunen, J.', 'Huang, R. C.', 'Sebert, S.']",2024-02-17
Aref-Eshghi et al.,2019.0,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,Am J Hum Genet,10.1016/j.ajhg.2019.03.008,15.0,"Multiple (ADNP-1 syndrome, ADNP-2 syndrome, BAFopathy syndrome: no subtype specified, Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant (ADCADN), CHARGE syndrome, Claes-Jensen syndrome, Cornelia de Lange syndrome (CdLS), Dup7 syndrome, Floating Harbor syndrome (FLHS), Genitopatellar syndrome (GTPTS), Kabuki syndrome, Sotos syndrome, Trisomy 21 syndrome, Williams–Beuren deletion syndrome (WBS), X-linked alpha-thalassemia/mental retardation syndrome (ATRX))",Genetic syndromes,"Multiple (72.0, 98.0, 40.0, 188.0, 59.0, 136.0, nan, 63.0, 28.0, 47.0, 51.0)",Raw individual-level data,Case control,"Multiple (577.0, 576.0, 597.0, 570.0, 655.0, 575.0, 578.0, 583.0, 568.0, 617.0, 619.0, 601.0, 585.0, 582.0)",Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Bend, E. G.', 'Colaiacovo, S.', 'Caudle, M.', 'Chakrabarti, R.', 'Napier, M.', 'Brick, L.', 'Brady, L.', 'Carere, D. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Saleh, M.', 'Beaudet, A. L.', 'Li, C.', 'Kozenko, M.', 'Karp, N.', 'Prasad, C.', 'Siu, V. M.', 'Tarnopolsky, M. A.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Krantz, I. D.', 'Deardorff, M. A.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-05
LaFlamme et al.,2024.0,Diagnostic utility of DNA methylation analysis in genetically unsolved pediatric epilepsies and CHD2 episignature refinement,Nat Commun,10.1038/s41467-024-50159-6,2.0,"Multiple (CHD2, Intellectual developmental disorder, autosomal dominant 23 (MRD23))",Genetic syndromes,"Multiple (200.0, nan)","Multiple (Raw individual-level data, Pre-established MPS)",Case control,"Multiple (nan, 516.0)",Not reported,Peripheral blood,EPICv1,Not reported,"['LaFlamme, C. W.', 'Rastin, C.', 'Sengupta, S.', 'Pennington, H. E.', 'Russ-Hall, S. J.', 'Schneider, A. L.', 'Bonkowski, E. S.', 'Almanza Fuerte, E. P.', 'Allan, T. J.', 'Zalusky, M. P.', 'Goffena, J.', 'Gibson, S. B.', 'Nyaga, D. M.', 'Lieffering, N.', 'Hebbar, M.', 'Walker, E. V.', 'Darnell, D.', 'Olsen, S. R.', 'Kolekar, P.', 'Djekidel, M. N.', 'Rosikiewicz, W.', 'McConkey, H.', 'Kerkhof, J.', 'Levy, M. A.', 'Relator, R.', 'Lev, D.', 'Lerman-Sagie, T.', 'Park, K. L.', 'Alders, M.', 'Cappuccio, G.', 'Chatron, N.', 'Demain, L.', 'Genevieve, D.', 'Lesca, G.', 'Roscioli, T.', 'Sanlaville, D.', 'Tedder, M. L.', 'Gupta, S.', 'Jones, E. A.', 'Weisz-Hubshman, M.', 'Ketkar, S.', 'Dai, H.', 'Worley, K. C.', 'Rosenfeld, J. A.', 'Chao, H. T.', 'Neale, G.', 'Carvill, G. L.', 'Wang, Z.', 'Berkovic, S. F.', 'Sadleir, L. G.', 'Miller, D. E.', 'Scheffer, I. E.', 'Sadikovic, B.', 'Mefford, H. C.']",2024-08-06
Haghshenas et al.,2024.0,Discovery of DNA methylation signature in the peripheral blood of individuals with history of antenatal exposure to valproic acid,Genet Med,10.1016/j.gim.2024.101226,1.0,Fetal valproate syndrome,Physical health indicators,155.0,Raw individual-level data,Case control,110.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Haghshenas, S.', 'Putoux, A.', 'Reilly, J.', 'Levy, M. A.', 'Relator, R.', 'Ghosh, S.', 'Kerkhof, J.', 'McConkey, H.', 'Edery, P.', 'Lesca, G.', 'Besson, A.', 'Coubes, C.', 'Willems, M.', 'Ruiz-Pallares, N.', 'Barat-Houari, M.', 'Tizzano, E. F.', 'Valenzuela, I.', 'Sabbagh, Q.', 'Clayton-Smith, J.', 'Jackson, A.', 'Sullivan, J.', 'Bromley, R.', 'Banka, S.', 'Genevieve, D.', 'Sadikovic, B.']",2024-10-03
Karimi et al.,2025.0,Discovery of a DNA methylation profile in individuals with Sifrim-Hitz-Weiss syndrome,Am J Hum Genet,10.1016/j.ajhg.2024.12.020,1.0,Sifrim-Hitz-Weiss syndrome,Genetic syndromes,218.0,Raw individual-level data,Case control,135.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Karimi, K.', 'Lichtenstein, Y.', 'Reilly, J.', 'McConkey, H.', 'Relator, R.', 'Levy, M. A.', 'Kerkhof, J.', 'Bouman, A.', 'Symonds, J. D.', 'Ghoumid, J.', 'Smol, T.', 'Clarkson, K.', 'Drazba, K.', 'Louie, R. J.', 'Miranda, V.', 'McCann, C.', 'Motta, J.', 'Lancaster, E.', 'Sallevelt, S.', 'Sidlow, R.', 'Morrison, J.', 'Hannibal, M.', ""O'Shea, J."", 'Marin, V.', 'Prasad, C.', 'Patel, C.', 'Raskin, S.', 'Maria-Noelia, S. M.', 'Diaz de Bustamante, A.', 'Marom, D.', 'Barkan, T.', 'Keren, B.', 'Poirsier, C.', 'Cohen, L.', 'Colin, E.', 'Gorman, K.', 'Gallant, E.', 'Menke, L. A.', 'Valenzuela Palafoll, I.', 'Hauser, N.', 'Wentzensen, I. M.', 'Rankin, J.', 'Turnpenny, P. D.', 'Campeau, P. M.', 'Balci, T. B.', 'Tedder, M. L.', 'Sadikovic, B.', 'Weiss, K.']",2025-02-06
Nava et al.,2025.0,Dominant variants in major spliceosome U4 and U5 small nuclear RNA genes cause neurodevelopmental disorders through splicing disruption,Nat Genet,10.1038/s41588-025-02184-4,1.0,ReNU syndrome,Genetic syndromes,147.0,Raw individual-level data,Case control,80.0,Mid childhood,Whole blood,EPICv2,Not reported,"['Nava, C.', 'Cogne, B.', 'Santini, A.', 'Leitao, E.', 'Lecoquierre, F.', 'Chen, Y.', 'Stenton, S. L.', 'Besnard, T.', 'Heide, S.', 'Baer, S.', 'Jakhar, A.', 'Neuser, S.', 'Keren, B.', 'Faudet, A.', 'Forlani, S.', 'Faoucher, M.', 'Uguen, K.', 'Platzer, K.', 'Afenjar, A.', 'Alessandri, J. L.', 'Andres, S.', 'Angelini, C.', 'Aral, B.', 'Arveiler, B.', 'Attie-Bitach, T.', 'Aubert Mucca, M.', 'Banneau, G.', 'Barakat, T. S.', 'Barcia, G.', 'Baulac, S.', 'Beneteau, C.', 'Benkerdou, F.', 'Bernard, V.', 'Bezieau, S.', 'Bonneau, D.', 'Bonnet-Dupeyron, M. N.', 'Boussion, S.', 'Boute, O.', 'Brischoux-Boucher, E.', 'Bryen, S. J.', 'Buratti, J.', 'Busa, T.', 'Caliebe, A.', 'Capri, Y.', 'Cassinari, K.', 'Caumes, R.', 'Cenni, C.', 'Chambon, P.', 'Charles, P.', 'Christodoulou, J.', 'Colson, C.', 'Conrad, S.', 'Cospain, A.', 'Coursimault, J.', 'Courtin, T.', 'Couse, M.', 'Coutton, C.', 'Creveaux, I.', ""D'Gama, A. M."", 'Dauriat, B.', 'de Sainte Agathe, J. M.', 'Del Gobbo, G.', 'Delahaye-Duriez, A.', 'Delanne, J.', 'Denomme-Pichon, A. S.', 'Dieux-Coeslier, A.', 'Do Souto Ferreira, L.', 'Doco-Fenzy, M.', 'Drukewitz, S.', 'Duboc, V.', 'Dubourg, C.', 'Duffourd, Y.', 'Dyment, D.', 'El Chehadeh, S.', 'Elmaleh, M.', 'Faivre, L.', 'Fennelly, S.', 'Fischer, H.', 'Fradin, M.', 'Galludec Vaillant, C.', 'Ganne, B.', 'Ghoumid, J.', 'Goel, H.', 'Gokce-Samar, Z.', 'Goldenberg, A.', 'Gonfreville Robert, R.', 'Gorokhova, S.', 'Goujon, L.', 'Granier, V.', 'Gras, M.', 'Greally, J. M.', 'Greiten, B.', 'Gueguen, P.', 'Guerrot, A. M.', 'Guha, S.', 'Guimier, A.', 'Haack, T. B.', 'Hadj Abdallah, H.', 'Halleb, Y.', 'Harbuz, R.', 'et al.']",2025-06-03
Edmondson-Stait et al.,2022.0,Early-life inflammatory markers and subsequent psychotic and depressive episodes between 10 to 28 years of age,Brain Behav Immun Health,10.1016/j.bbih.2022.100528,4.0,"Multiple (C-reactive protein, IL6)",Biological markers,"Multiple (7.0, 35.0)",Pre-established MPS,Population-based,"Multiple (672.0, 721.0, 683.0, 732.0)","Multiple (Birth, Mid childhood)","Multiple (Cord blood, Peripheral blood)",450K,European,"['Edmondson-Stait, A. J.', 'Shen, X.', 'Adams, M. J.', 'Barbu, M. C.', 'Jones, H. J.', 'Miron, V. E.', 'Allardyce, J.', 'Boardman, J. P.', 'Lawrie, S. M.', 'McIntosh, A. M.', 'Khandaker, G. M.', 'Kwong, A. S. F.', 'Whalley, H. C.']",2022-12-03
