Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Link [application],Link [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Insulin receptor,Insulin receptor,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,51.0,51.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-58",https://elifesciences.org/articles/71802,No,
Lactotransferrin,Lactotransferrin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,51.0,51.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-60",https://elifesciences.org/articles/71802,No,
LGALS3BP,LGALS3BP,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,186.0,186.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-61",https://elifesciences.org/articles/71802,No,
L-selectin,L-selectin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,99.0,99.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-59",https://elifesciences.org/articles/71802,No,
LY9,LY9,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,124.0,124.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-62",https://elifesciences.org/articles/71802,No,
Lymphotoxin,Lymphotoxin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,67.0,67.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-63",https://elifesciences.org/articles/71802,No,
MIA,MIA,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,69.0,69.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-64",https://elifesciences.org/articles/71802,No,
MMP1,MMP1,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,34.0,34.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-65",https://elifesciences.org/articles/71802,No,
MMP12,MMP12,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,257.0,257.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-66",https://elifesciences.org/articles/71802,No,
MMP9,MMP9,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,96.0,96.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-67",https://elifesciences.org/articles/71802,No,
MRC2,MRC2,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,17.0,17.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-68",https://elifesciences.org/articles/71802,No,
Myeloperoxidase,Myeloperoxidase,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,35.0,35.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-69",https://elifesciences.org/articles/71802,No,
NCAM1,NCAM1,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,121.0,121.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-70",https://elifesciences.org/articles/71802,No,
NCDase,NCDase,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,50.0,50.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-71",https://elifesciences.org/articles/71802,No,
Neprilysin,Neprilysin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,34.0,34.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-72",https://elifesciences.org/articles/71802,No,
NMNAT1,NMNAT1,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,44.0,44.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-73",https://elifesciences.org/articles/71802,No,
NOTCH1,NOTCH1,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,33.0,33.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-74",https://elifesciences.org/articles/71802,No,
NTRK3,NTRK3,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,118.0,,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-76",https://elifesciences.org/articles/71802,No,
Oncostatin-M,Oncostatin-M,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,125.0,125.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-77",https://elifesciences.org/articles/71802,No,
Osteomodulin,Osteomodulin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,180.0,180.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-78",https://elifesciences.org/articles/71802,No,
Pappalysin-1,Pappalysin-1,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,58.0,58.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-79",https://elifesciences.org/articles/71802,No,
