Author,Year,Title,DOI,Phenotype,Category,n MPSs,n CpGs,Based on,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Publication type,Journal,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Comparison,Missing_value_note,Covariates
A. Metais; A. Tauziede-Espariat; J. Garcia; R. Appay; E. Uro-Coste; D. Meyronet; C. A. Maurage; F. Vandenbos; V. Rigau; D. C. Chiforeanu; J. Pallud; S. Senova; R. Saffroy; C. Colin; M. Edjlali; P. Varlet; D. Figarella-Branger,2023.0,Clinico-pathological and epigenetic heterogeneity of diffuse gliomas with FGFR3::TACC3 fusion,10.1186/s40478-023-01506-z,Glioma,Cancer,1.0,,Pre-established MPS,22.0,,,Cohort study,Childhood and adolescence,Tumour cells,EPICv1,Not reported,Journal Article,Acta Neuropathol Commun,,,,,,,No,No,Not assessed,No,Not reported,Not reported
M. T. Mathew; S. L. Potter; K. M. Schieffer; J. O'Donovan; E. A. R. Garfinkle; S. A. Paxton; B. Setty; M. A. Lazow; D. R. Boue; E. Varga; K. Miller; G. Wheeler; B. Kelly; P. White; R. K. Wilson; E. R. Mardis; C. E. Cottrell,2025.0,Comprehensive Genomic Characterization of Congenital and Infantile Cancers Reveals High Yield of Medically Meaningful Findings,10.1200/PO-24-00910,Central nervous system tumour ,Cancer,1.0,,Pre-established MPS,22.0,22.0,,Cohort study,Childhood,Tumour cells,EPICv1,Mixed,Journal Article,JCO Precis Oncol,,,,,,,No,No,Not reported,No,Not reported,Not reported
E. Giuili; R. Grolaux; C. Z. N. M. Macedo; L. Desmyter; B. Pichon; S. Neuens; C. Vilain; C. Olsen; S. Van Dooren; G. Smits; M. Defrance,2023.0,Comprehensive evaluation of the implementation of episignatures for diagnosis of neurodevelopmental disorders (NDDs),10.1007/s00439-023-02609-2,"['Kabuki syndrome', 'Sotos syndrome']",Genetic syndromes,12.0,"[np.float64(113.0), np.float64(nan), np.float64(7085.0)]",Raw (individual-level) data,"[np.float64(141.0), np.float64(138.0)]","[np.float64(41.0), np.float64(20.0)]","[np.float64(100.0), np.float64(118.0)]",Case control,Childhood and adolescence,Whole blood,"Multiple (450K, EPICv1)",Not reported,Journal Article,Hum Genet,"['Association DNAm phenotype | P-value | p < .05', 'Association DNAm phenotype | P-value | adjusted p < .05']",,,,,"['Machine learning | Support vector machine', 'Penalized regression | ?', 'Machine learning | Random forest']","['Train/test split: 73/27% ', 'Train/test split: 85/15%']",Yes (n = 1670),Reported | Matthew’s correlation coefcient,Yes,Reported,Not reported
J. M. E. Mannisto; J. J. Hopkins; T. I. Hewat; F. Nasser; J. Burrage; A. Dastamani; A. Mirante; N. Murphy; J. Rzasa; J. Kerkhof; R. Relator; M. B. Johnson; T. W. Laver; L. Weymouth; J. A. L. Houghton; M. N. Wakeling; B. Sadikovic; E. L. Dempster; S. E. Flanagan,2025.0,Congenital Hyperinsulinism and Novel KDM6A Duplications -Resolving Pathogenicity With Genome and Epigenetic Analyses,10.1210/clinem/dgae524,Kabuki syndrome,Genetic syndromes,1.0,153.0,Pre-established MPS,2.0,2.0,,Cohort study,Childhood,Peripheral blood,EPICv1,Not reported,Journal Article,J Clin Endocrinol Metab,,,,,,,No,No,Not reported,No,Not reported,Not reported
R. Alfano; D. Zugna; H. Barros; M. Bustamante; L. Chatzi; A. Ghantous; Z. Herceg; P. Keski-Rahkonen; T. M. de Kok; T. S. Nawrot; C. L. Relton; O. Robinson; T. Roumeliotaki; A. Scalbert; M. Vrijheid; P. Vineis; L. Richiardi; M. Plusquin,2023.0,Cord blood epigenome-wide meta-analysis in six European-based child cohorts identifies signatures linked to rapid weight growth,10.1186/s12916-022-02685-7,Rapid weight growth,Lifestyle and environment,1.0,140.0,Raw (individual-level) data,2003.0,,,Population-based,Birth,Cord blood,"Multiple (450K, EPICv1)",European,Journal Article,BMC Med,Association DNAm phenotype | P-value | ?,,,,,Machine learning | Random forest,Train/test split: 80/20%,No,Reported | AUC | 0.61 (95% CI= 0.55–0.68),No,Imputed | missForest,"Cell type, maternal gestational diabetes [49] (categorized as having or not gestational diabetes) and ethnicity [50] (categorized as white European or non-white European children)"
J. Wang; A. Foroutan; E. Richardson; S. A. Skinner; J. Reilly; J. Kerkhof; C. J. Curry; P. S. Tarpey; S. P. Robertson; I. Maystadt; B. Keren; J. W. Dixon; C. Skinner; R. Stapleton; L. Ruaud; E. Gumus; P. Lakeman; M. Alders; M. L. Tedder; C. E. Schwartz; M. J. Friez; B. Sadikovic; R. E. Stevenson,2023.0,"Correction: Clinical findings and a DNA methylation signature in kindreds with alterations in ZNF711 (European Journal of Human Genetics, (2022), 30, 4, (420-427), 10.1038/s41431-021-01018-1)",10.1038/s41431-023-01499-2,ZNF711 alterations,Genetic syndromes,1.0,161.0,Raw (individual-level) data,85.0,25.0,60.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Eur J Hum Genet,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking 500,Pruning | Pairwise correlation | < 0.70,Association DNAm phenotype | Actual change in methylation | > 5%,Machine learning | Support vector machine,"Train/test split: 60/40% | leave-one-out cross-validation, 10-fold cross-validation",Yes (n>1000),Not reported,No,Not reported,Cell type
F. Tang; Z. Lu; H. Lei; Y. Lai; Z. Lu; Z. Li; Z. Tang; J. Zhang; Z. He,2021.0,DNA Methylation Data-Based Classification and Identification of Prognostic Signature of Children With Wilms Tumor,2296-634X,Wilms Tumour prognosis,Cancer,1.0,3.0,Raw (individual-level) data,124.0,,,Cohort study,Childhood and adolescence,Tumour cells,450K,White,Journal Article,Front. cell dev. biol.,Association DNAm phenotype | P-value | p < .001,Pruning | Multivariate regression | p < .001,Pruning | Stepwise selection,,,Discovery EWAS | Survival analysis,No,No,Reported | AUC 0.802 (internal),No,Reported |  k-nearest neighbor (KNN) imputation approach Zhang et al 2018,"sex, age, event, tumor stage, and histological type"
S. E. Reese; S. Zhao; M. C. Wu; B. R. Joubert; C. L. Parr; S. E. Haberg; P. M. Ueland; R. M. Nilsen; O. Midttun; S. E. Vollset; S. D. Peddada; W. Nystad; S. J. London,2017.0,DNA Methylation Score as a Biomarker in Newborns for Sustained Maternal Smoking during Pregnancy,10.1289/ehp333,Maternal smoking,Lifestyle and environment,2.0,28.0,"['Published summary statistics (semi-supervised)', 'Raw (individual-level) data']",1278.0,168.0,110.0,Population-based,Birth,Cord blood,450K,European,Journal Article,Environ Health Perspect,"['Association DNAm phenotype | P-value | top-ranking ?', 'Association DNAm phenotype | P-value | top-ranking 200']",,,,,"['Discovery EWAS | Linear regression', 'Penalized regression | Lasso']",Train/test split: 80/20%,No,"['Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 82%, sensitivity = 81%, specificity = 82%); test set (n = 221, sensitivity = 83%, accuracy = 60%, specificity = 87%) ', 'Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ']",Yes,Not reported,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set."
S. Trajkova; J. Kerkhof; M. Rossi Sebastiano; L. Pavinato; E. Ferrero; C. Giovenino; D. Carli; E. Di Gregorio; R. Marinoni; G. Mandrile; F. Palermo; S. Carestiato; S. Cardaropoli; V. Pullano; A. Rinninella; E. Giorgio; T. Pippucci; P. Dimartino; J. Rzasa; K. Rooney; H. McConkey; A. Petlichkovski; B. Pasini; E. Sukarova-Angelovska; C. M. Campbell; K. Metcalfe; S. Jenkinson; S. Banka; A. Mussa; G. B. Ferrero; B. Sadikovic; A. Brusco,2024.0,DNA methylation analysis in patients with neurodevelopmental disorders improves variant interpretation and reveals complexity,2666-2477,"['BAFopathy syndrome: no subtype specified', 'CHARGE syndrome', 'Cornelia de Lange syndrome (CdLS)', 'Helsmoortel–van der Aa syndrome (HVDAS) / ADNP', 'Kabuki syndrome', 'Kleefstra syndrome (Kleefstra)', 'Koolen de Vreis syndrome (KDVS)', 'Rubinstein-Taybi syndrome (RSTS)', 'Williams–Beuren deletion syndrome (WBS)', '22q11.2 deletion syndrome', 'BAFopathy syndrome: Coffin-Siris 1-2 (CSS1-2)', 'Renpenning syndrome (RENS1)', 'Intellectual developmental disorder, autosomal dominant 23 (MRD23)', 'KBG syndrome', 'Wolf-Hirschhorn syndrome (WHS)']",Genetic syndromes,15.0,"[np.float64(140.0), np.float64(148.0), np.float64(128.0), np.float64(105.0), np.float64(153.0), np.float64(107.0), np.float64(136.0), np.float64(139.0), np.float64(82.0), np.float64(500.0), np.float64(329.0), np.float64(nan)]",Pre-established MPS,97.0,"[np.float64(2.0), np.float64(3.0), np.float64(7.0), np.float64(9.0), np.float64(4.0)]","[np.float64(95.0), np.float64(94.0), np.float64(90.0), np.float64(88.0), np.float64(93.0)]",Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Hum Genet Genom Adv,,,,,,,Yes,No,not assessed,No,Not reported,Not reported
A. Kilanowski; S. K. Merid; S. Abrishamcar; D. Feil; E. Thiering; M. Waldenberger; E. Melén; A. Peters; M. Standl; A. Hüls,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,10.1186/s13148-022-01332-5,"['Atopic status', 'Allergy', 'Asthma']",Physical health indicators,12.0,"[np.float64(3.0), np.float64(2.0), np.float64(5.0), np.float64(9.0), np.float64(18.0), np.float64(24.0)]",Published summary statistics (semi-supervised),"[np.float64(167.0), np.float64(234.0)]",,,Population-based,"['Late childhood', 'Mid childhood']",Blood-clots,EPICv1,European,Journal Article,Clin Epigenetics,Association DNAm phenotype | Multiple p-values | thresholding,Pruning | CoMeBack,,,,Discovery EWAS | Linear regression,No,No,Not reported,No,Not reported,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH"
S. Abrishamcar; J. Chen; D. Feil; A. Kilanowski; N. Koen; A. Vanker; C. J. Wedderburn; K. A. Donald; H. J. Zar; D. J. Stein; A. Huls,2022.0,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,10.1038/s41398-022-02195-3,"['Prenatal alcohol exposure', 'Maternal smoking']",Lifestyle and environment,2.0,,Published summary statistics (semi-supervised),262.0,,,Population-based,Birth,Cord blood,"Multiple (450K, EPICv1)",African,Journal Article,Transl Psychiatry,Association DNAm phenotype | Multiple p-values | thresholding,Pruning | CoMeBack,,,,Discovery EWAS | Linear regression,No,No,"['Reported | Explained variance | R = 0.0006', 'Reported | Explained variance | R2 = 0.23']",No,Not reported,"maternal age, maternal HIV status, maternal depression during pregnancy, maternal psychological distress during pregnancy, parental socioeconomic status (SES), gestational age, and cell-type proportions. Population stratification was adjusted for using the first five genetic principal components. the primary exposure were additionally adjusted for PAE and likewise, models evaluating PAE as the primary exposure were additionally adjusted for PTE. "
M. Luo; E. Walton; A. Neumann; C. H. L. Thio; J. F. Felix; I. M. H. van; I. Pappa; C. A. M. Cecil,2024.0,DNA methylation at birth and lateral ventricular volume in childhood: a neuroimaging epigenetics study,10.1111/jcpp.13866,Lateral ventricular volume,Neuro-psychiatric health indicators,1.0,125.0,Raw (individual-level) data,840.0,,,Population-based,Birth,Cord blood,450K,European,Journal Article,J Child Psychol Psychiatry,Association DNAm phenotype | P-value | p < 1e-4,,,,,Penalized regression | Elastic net,Train/test split: 80/20% | 10-fold cross-validation,"Yes (external dataset, dataset later time-point)",Reported | Explained variance | r2 = 0.22,No,Not reported,"child sex, maternal age at delivery (in years), prenatal maternal smoking (binary categorization of ‘no smoking/quit in early pregnancy’ vs. ‘smoked throughout pregnancy’),gestational age at delivery (in weeks), child age at MRI assessment (in years), total brain volume, technical covariates (i.e. batch effect in Generation R), and estimated cell-type proportions using a cord_x0002_blood-specific reference-based "
L. C. Schenkel; E. Aref-Eshghi; K. Rooney; J. Kerkhof; M. A. Levy; H. McConkey; R. C. Rogers; K. Phelan; S. M. Sarasua; L. Jain; R. Pauly; L. Boccuto; B. DuPont; G. Cappuccio; N. Brunetti-Pierri; C. E. Schwartz; B. Sadikovic,2021.0,DNA methylation epi-signature is associated with two molecularly and phenotypically distinct clinical subtypes of Phelan-McDermid syndrome,10.1186/s13148-020-00990-7,Phelan–McDermid syndrome (PHMDS),Genetic syndromes,1.0,1022.0,Raw (individual-level) data,55.0,11.0,44.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Clin Epigenetics,Reproducibility | Array,Association DNAm phenotype | Actual change in methylation | > 10%,Association DNAm phenotype | P-value | p < .01,,,Machine learning | Support vector machine,Train/test split: 75/25% | 10-fold cross-validation,Yes (n>1500),Not reported,No,Not reported,Cell type
K. Rooney; L. van der Laan; S. Trajkova; S. Haghshenas; R. Relator; P. Lauffer; N. Vos; M. A. Levy; N. Brunetti-Pierri; G. Terrone; C. Mignot; B. Keren; T. B. de Villemeur; C. M. L. Volker-Touw; N. Verbeek; J. J. van der Smagt; R. Oegema; A. Brusco; G. B. Ferrero; M. Misra-Isrie; R. Hochstenbach; M. Alders; M. M. A. M. Mannens; B. Sadikovic; M. M. van Haelst; P. Henneman,2023.0,DNA methylation episignature and comparative epigenomic profiling of HNRNPU-related neurodevelopmental disorder,10.1016/j.gim.2023.100871,HNRNPU syndrome,Genetic syndromes,1.0,123.0,Raw (individual-level) data,60.0,10.0,50.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Gen Med,Association DNAm phenotype | Actual change in methylation | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking 333,Pruning | Pairwise correlation | < 0.70,,Machine learning | Support vector machine,4-fold cross-validation,Yes,Not reported,No,Not reported,Cell type
J. Coenen-van der Spek; R. Relator; J. Kerkhof; H. McConkey; M. A. Levy; M. L. Tedder; R. J. Louie; R. S. Fletcher; H. W. Moore; A. Childers; E. R. Farrelly; N. L. Champaigne; M. J. Lyons; D. B. Everman; R. C. Rogers; S. A. Skinner; A. Renck; D. R. Matalon; S. K. Dills; B. Monteleone; S. Demirdas; A. J. M. Dingemans; L. Donker Kaat; S. M. Kolk; R. Pfundt; P. Rump; B. Sadikovic; T. Kleefstra; K. M. Butler,2023.0,DNA methylation episignature for Witteveen-Kolk syndrome due to SIN3A haploinsufficiency,10.1016/j.gim.2022.10.004,Witteveen-Kolk syndrome (WITKOS),Genetic syndromes,1.0,120.0,Raw (individual-level) data,,20.0,,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Gen Med,Association DNAm phenotype | P-value | top-ranking ?,Association DNAm phenotype | P-value | top-ranking ?,Association DNAm phenotype | AUC | top-ranking ?,,,Machine learning | Support vector machine,4-fold cross-validation,Yes (remaining EKD),Not reported,No,No,Cell type
F. Cherik; J. Reilly; J. Kerkhof; M. Levy; H. McConkey; M. Barat-Houari; K. M. Butler; C. Coubes; J. A. Lee; G. Le Guyader; R. J. Louie; W. G. Patterson; M. L. Tedder; M. Bak; T. B. Hammer; W. Craigen; F. Démurger; C. Dubourg; M. Fradin; R. Franciskovich; E. Frengen; J. Friedman; N. R. Palares; M. Iascone; D. Misceo; P. Monin; S. Odent; C. Philippe; F. Rouxel; V. Saletti; P. Strømme; P. C. Thulin; B. Sadikovic; D. Genevieve,2022.0,DNA methylation episignature in Gabriele-de Vries syndrome,10.1016/j.gim.2021.12.003,Gabriele-de Vries syndrome (GADEVS),Genetic syndromes,1.0,487.0,Raw (individual-level) data,65.0,13.0,52.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Gen Med,Association DNAm phenotype | Actual change in methylation | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking ?,Pruning | Pairwise correlation | ?,,Machine learning | Support vector machine,4-fold cross-validation,Yes (remaining EKD),Not reported,No,No,Cell type
L. van der Laan; K. Karimi; K. Rooney; P. Lauffer; H. McConkey; P. Caro; R. Relator; M. A. Levy; P. Bhai; C. Mignot; B. Keren; S. Briuglia; A. K. Sobering; D. Li; L. E. L. M. Vissers; A. J. M. Dingemans; I. Valenzuela; E. A. Verberne; M. Misra-Isrie; P. J. G. Zwijnenburg; Q. Waisfisz; M. Alders; S. Sailer; C. P. Schaaf; M. M. A. M. Mannens; B. Sadikovic; M. M. van Haelst; P. Henneman,2024.0,"DNA methylation episignature, extension of the clinical features, and comparative epigenomic profiling of Hao-Fountain syndrome caused by variants in USP7",10.1016/j.gim.2023.101050,Hao-Fountain syndrome (HAFOUS),Genetic syndromes,1.0,203.0,Raw (individual-level) data,70.0,14.0,56.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Gen Med,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | AUC | top-ranking 400,Pruning | Pairwise correlation | < 0.85,,Machine learning | Support vector machine,4-fold cross-validation,Yes (unclear how many),Not reported,No,Not reported,Cell type
N. Vos; J. Reilly; M. W. Elting; P. M. Campeau; D. Coman; Z. Stark; T. Y. Tan; D. J. Amor; S. Kaur; M. Stjohn; A. T. Morgan; B. A. Kamien; C. Patel; M. L. Tedder; G. Merla; P. Prontera; M. Castori; K. Muru; F. Collins; J. Christodoulou; J. Smith; B. B. Zeev; A. Murgia; E. Leonardi; N. Esber; A. Martinez-Monseny; D. Casas-Alba; M. Wallis; M. Mannens; M. A. Levy; R. Relator; M. Alders; B. Sadikovic,2023.0,DNA methylation episignatures are sensitive and specific biomarkers for detection of patients with KAT6A/KAT6B variants,10.2217/epi-2023-0079,KAT6A syndrome,Genetic syndromes,1.0,114.0,Raw (individual-level) data,105.0,21.0,84.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Epigenomics,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,,Machine learning | Support vector machine,4-fold cross-validation,Yes (unclear how many),Not reported,No,Not reported,Cell type
A. Maguolo; J. Jonsson; A. Perfilyev; M. Maziarz; A. Vaag; E. Malchau Carlsen; K. Norgaard; P. W. Franks; K. M. Renault; C. Ling,2025.0,DNA methylation in cord blood partially mediates the effects of prepregnancy BMI on early childhood offspring BMI,10.1002/oby.24174,BMI,Physical health indicators,1.0,2.0,Raw (individual-level) data,79.0,,,Cohort study,Birth,Cord blood,450K,European,Journal Article,Obesity (Silver Spring),Association DNAm phenotype | P-value | p < .05,Biological relevance | Associated to certain phenotype | Prepregnancy BMI q < .01,,,,Discovery EWAS | Linear regression,Leave-one-out cross-validation,No,Reported | AUC |  0.72 (95% CI: 0.58–0.85) ,No,Not reported,"To test whether CB DNAm was associated with prePregBMI, linear regression models adjusted for maternal age, educational level, assignment to TOP intervention, GWG, and smoking status during pregnancy and offspring gestational age, sex, and cell‐type  composition were run. We then performed a linear regression model adjusting for the same covariates, except smoking status, to test whether DNAm was associated with BMIz36"
