Identifier,Base use,Link,Phenotype,Category,n CpGs,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Identifier_base,Multiple_identifier_base,Sample_overlap_target_base,Comparison,Missing_value_note,Covariates
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,BMP1,Biological markers,67.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CCL11,Biological markers,45.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CCL17,Biological markers,364.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CCL18,Biological markers,119.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CCL21,Biological markers,98.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CCL22,Biological markers,36.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CCL25,Biological markers,59.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CD163,Biological markers,151.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CD209,Biological markers,163.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CD48,Biological markers,17.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CD5,Biological markers,127.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CD6,Biological markers,41.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CHIT1,Biological markers,111.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Coagulation factor VII,Biological markers,26.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Complement C4,Biological markers,17.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Complement C5a,Biological markers,263.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Complement C9,Biological markers,109.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Contactin-4,Biological markers,45.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CRTAM,Biological markers,64.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CXCL10,Biological markers,,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CXCL11,Biological markers,,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,CXCL9,Biological markers,56.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Ectodysplasin-A,Biological markers,10.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,ENPP7,Biological markers,156.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,E-selectin,Biological markers,126.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,ESM-1,Biological markers,55.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Ezrin,Biological markers,32.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,FAP,Biological markers,74.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,FCER2,Biological markers,163.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,FCGR3B,Biological markers,102.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,FcRL2,Biological markers,38.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,FGF21,Biological markers,103.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Galectin-4,Biological markers,58.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,GCSF,Biological markers,79.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,GDF8,Biological markers,29.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,GHR,Biological markers,108.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,GPIba,Biological markers,179.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Granulysin,Biological markers,52.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Granzyme A,Biological markers,13.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,HCII,Biological markers,52.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,HGF,Biological markers,72.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,HGFA,Biological markers,20.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,HGFI,Biological markers,72.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,ICAM5,Biological markers,132.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,IGFBP1,Biological markers,120.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,IGFBP4,Biological markers,72.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,IL19,Biological markers,81.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Insulin receptor,Biological markers,51.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Lactotransferrin,Biological markers,51.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,LGALS3BP,Biological markers,186.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,L-selectin,Biological markers,99.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,LY9,Biological markers,124.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Lymphotoxin,Biological markers,67.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,MIA,Biological markers,69.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,MMP1,Biological markers,34.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,MMP12,Biological markers,257.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,MMP9,Biological markers,96.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,MRC2,Biological markers,17.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Myeloperoxidase,Biological markers,35.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,NCAM1,Biological markers,121.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,NCDase,Biological markers,50.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Neprilysin,Biological markers,34.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,NMNAT1,Biological markers,44.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,NOTCH1,Biological markers,33.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,NTRK3,Biological markers,,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Oncostatin-M,Biological markers,125.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Osteomodulin,Biological markers,180.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,Pappalysin-1,Biological markers,58.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,PIGR,Biological markers,27.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
Gadd (2023) - Epigenetic scores for the circulating,Validated algorithm,https://elifesciences.org/articles/71802,RARRES2,Biological markers,117.0,1819.0,,,Population-based cohort,Adulthood,Whole blood,450K,European,,,,,,Penalized regression | Elastic net,split 20/80; cross-valition,Yes (n = 9537),"Reported | r>.1, p<.05",,,,No,No,"age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses"
