Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Atopic status,Atopic status,Physical health indicators,Physical health indicators,Kilanowski et al.,2022.0,DNA methylation and aeroallergen sensitization: The chicken or the egg?,24.0,,Published summary statistics (semi-supervised),234.0,,,,,,Population-based,,Mid childhood,Childhood and adolescence,Blood-clots,Peripheral blood,EPICv1,"Multiple (450K, EPICv1)",European,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not reported,,No,,Not reported,,"sex, age, whether the blood was taken in the allergyseason (March to August),as well as circulating IgE levels, and estimated celltype proportions using EpiDISH","15 PCs, array, gender, age, cell-type",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,Reported | AUC |AUC 95CI = 0.55 (0.50–0.60) ‡,,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.54 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,"Discovery EWAS | Count (+1 hyper, -1 hypo, based on linear regression)",,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.49 (0.44, 0.55)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,"Discovery EWAS | Count (+1 hyper, -1 hypo, based on linear regression)",,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.53 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,6.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.52 (0.47, 0.58)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,Reported | AUC 95CI = 0.53 (0.48–0.59),,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.54 (0.49, 0.59) ‡",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,"Discovery EWAS | Count (+1 hyper, -1 hypo, based on linear regression)",,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.53 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,"Discovery EWAS | Count (+1 hyper, -1 hypo, based on linear regression)",,Cross-validation | ?,,No,,"Reported | AUC 95CI  = 0.53 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Asthma,Asthma,Physical health indicators,Physical health indicators,Kothalawala et al.,2022.0,Integration of Genomic Risk Scores to Improve the Prediction of Childhood Asthma Diagnosis,110.0,,Published summary statistics (semi-supervised),747.0,,124.0,,623.0,,Population-based,,Very early childhood,"Birth, Childhood and adolescence",Dried bloodspot,Whole blood,EPICv1,450K,European,Mixed,Association DNAm phenotype | P-value | ?,,Pruning | Pairwise correlation | ?,,Pruning | Feature selection ML,,,,,,Discovery EWAS | Linear regression,,Cross-validation | ?,,No,,"Reported | AUC 95CI = 0.53 (0.48, 0.59)",,No,,Not reported,,Not reported,"maternal age, sustained maternal smoking during pregnancy, maternal asthma, socioeconomic status, and child's sex. Cohorts adjusted for batch effects by using ComBat or SVA or by including a batch covariate in their models.",No,
Bohrin Opitz Syndrome (BOS),Bohrin Opitz Syndrome (BOS),Genetic syndromes,Genetic syndromes,Lin et al.,2024.0,ASXL1 truncating variants in BOS and myeloid leukemia drive shared disruption of Wnt-signaling pathways but have differential isoform usage of RUNX3,763.0,763.0,Pre-established MPS,40.0,52.0,14.0,17.0,26.0,35.0,Case control,Case control,Not reported,Childhood and adolescence,Peripheral blood,Peripheral blood,450K,EPICv1,Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Support vector machine,No,No,No,Yes (n = 171) ,Not assessed,Not reported,No,No,No,No,Not reported,"Age, sex, cell-type, DNAm age residual (from Horvath DNAm age calculator) ",No,
Brain tumour,Brain tumour,Cancer,Cancer,Lopez-Nunez et al.,2021.0,The spectrum of rare central nervous system (CNS) tumors with EWSR1-non-ETS fusions: experience from three pediatric institutions with review of the literature,,,Pre-established MPS,5.0,2801.0,,,,,Cohort study,Cohort,Childhood and adolescence,Childhood and adolescence,Tumour cells,Tumour cells,EPICv1,450K,Not reported,Not reported,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Machine learning | Random forest,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 1104),Not assessed,Reported | AC = .99,No,No,Not reported,No,Not reported,batch,No,
Fetal alcohol syndrome,Fetal alcohol syndrome,Lifestyle and environment,Lifestyle and environment,Martins et al.,2021.0,Childhood adversity correlates with stable changes in DNA methylation trajectories in children and converges with epigenetic signatures of prenatal stress,658.0,,Published summary statistics (semi-supervised),173.0,,86.0,,87.0,,Cohort study,,Early childhood,Childhood and adolescence,Buccal cells,Buccal cells,EPICv1,450K,Not reported,Mixed,Association DNAm phenotype | P-value | FDR < .05,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Not assessed,,No,,Not reported,,"age, sex and cell type composition (Buccal, CD14, CD34) as well as the first three principal components (PC1, PC2, PC3)","clinical status, SVs",No,
Maternal smoking (older children),Maternal smoking (older children),Lifestyle and environment,Lifestyle and environment,Martins et al.,2021.0,Childhood adversity correlates with stable changes in DNA methylation trajectories in children and converges with epigenetic signatures of prenatal stress,15.0,19.0,Pre-established MPS,173.0,754.0,86.0,,87.0,,Cohort study,Population-based,Early childhood,Adulthood,Buccal cells,Peripheral blood,EPICv1,450K,Not reported,European,,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear mixed model,No,No,No,"Yes (later timepoint, n=230)",Reported | statistical significance | p = 0.07,"Reported | AUC 0.72 (95% CI 0.69, 0.76; P for difference = 0.97)",No,No,Not reported,Not reported,"age, sex and cell type composition (Buccal, CD14, CD34) as well as the first three principal components (PC1, PC2, PC3)","Maternal age at birth and head of household social class, SVs",No,
ADAMTS,ADAMTS,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,51.0,51.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Adiponectin,Adiponectin,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,39.0,39.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Afamin,Afamin,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,37.0,37.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Alpha-L-iduronidase,Alpha-L-iduronidase,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,67.0,67.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Aminoacylase-1,Aminoacylase-1,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,395.0,395.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Beta-2-microglobulin,Beta-2-microglobulin,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,311.0,311.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 999,,Association DNAm phenotype | AUC | top-ranking 100-149,,Pruning | R-squared | 0.60-0.79,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
BMP1,BMP1,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,67.0,67.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CCL11,CCL11,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,45.0,45.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,Association DNAm phenotype | Effect size * P-value | top-ranking 1000,,Association DNAm phenotype | AUC | top-ranking 100-150,,Pruning | R-squared | 0.60-0.80,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CCL17,CCL17,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,364.0,364.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CCL18,CCL18,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,119.0,119.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CCL21,CCL21,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,98.0,98.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CCL22,CCL22,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,36.0,36.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CCL25,CCL25,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,59.0,59.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CD163,CD163,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,151.0,151.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CD209,CD209,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,163.0,163.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CD48,CD48,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,17.0,17.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CD5,CD5,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,127.0,127.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CD6,CD6,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,41.0,41.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
CHIT1,CHIT1,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,111.0,111.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Coagulation factor VII,Coagulation factor VII,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,26.0,26.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Complement C4,Complement C4,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,17.0,17.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Complement C5a,Complement C5a,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,263.0,263.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Complement C9,Complement C9,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,109.0,109.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
Contactin-4,Contactin-4,Biological markers,Biological markers,McKinnon et al.,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,45.0,45.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses",No,
